date,px_3m,px_cash,curve_cash_minus_3m,curve_z120,trend_signal,hook_signal,ret_1d,position_trend,position_hook,log_mom_20d,log_mom_60d,log_mom_120d
2021-12-27,9566,27.0,-9539.0,-0.5531993375850994,1.0,0.0,0.0,1.0,0.0,-0.004589077724095976,0.031431765680341284,0.019102475219632913
2021-12-28,9566,27.0,-9539.0,-0.5460569049048176,1.0,0.0,0.0,1.0,0.0,0.005871268700806219,0.05104023706871775,0.02337370435057907
2021-12-29,9566,45.0,-9521.0,-0.44962641464997455,1.0,0.0,0.0,1.0,0.0,0.005871268700806219,0.05192071258234581,0.022945759548926446
2021-12-30,9566,32.5,-9533.5,-0.5071299202878655,1.0,0.0,0.0,1.0,0.0,0.01527390519157436,0.04151479142122915,0.019209033906930857
2021-12-31,9682,20.13,-9661.87,-1.1378936003179947,1.0,0.0,0.01212628057704368,1.0,0.0,0.023724789407081864,0.0471596000252537,0.025948306655432723
2022-01-03,9682,20.13,-9661.87,-1.1194351369266546,0.0,0.0,0.0,0.0,0.0,0.021084175250572216,0.021506205220963682,0.04025409135829231
2022-01-04,9630,20.5,-9609.5,-0.8447629248651817,0.0,0.0,-0.005370791158851529,0.0,0.0,0.0024953225674015705,0.013907266549218675,0.04090853339789992
2022-01-05,9759,10.25,-9748.75,-1.5072828163860366,1.0,0.0,0.013395638629283502,1.0,0.0,0.020079333267107858,0.020602209096014134,0.0478530073729026
2022-01-06,9560,11.75,-9548.25,-0.5130715976404435,0.0,1.0,-0.020391433548519355,0.0,1.0,0.00031385677926735995,-0.028867984000852127,0.0159210490386813
2022-01-07,9593,45.0,-9548.0,-0.5086918695371557,-1.0,0.0,0.003451882845188381,-1.0,0.0,0.006484021880321674,-0.05909660637398393,0.013749888626854171
2022-01-10,9641,10.5,-9630.5,-0.9139967196216184,-1.0,0.0,0.00500364849369328,-1.0,0.0,0.014101659490425713,-0.06368892270005495,0.0038451593232364492
2022-01-11,9632,15.0,-9617.0,-0.8582718535426672,-1.0,0.0,-0.0009335131210455039,-1.0,0.0,0.015906572299534724,-0.06413613537400169,-0.009917436657345916
2022-01-12,9930,17.0,-9913.0,-2.285970419357996,-1.0,0.0,0.030938538205980137,-1.0,0.0,0.06716028325241219,-0.006624534915624765,0.02147774553574765
2022-01-13,9965,13.75,-9951.25,-2.441396369870085,-0.0,1.0,0.0035246727089628394,-0.0,1.0,0.04831360940050881,0.0030150776609779734,0.016186494016448342
2022-01-14,9885,10.75,-9874.25,-2.054953419973711,0.0,1.0,-0.008028098344204704,0.0,1.0,0.039200480682187844,0.0015186031771900596,0.011190350751150869
2022-01-17,9660,18.0,-9642.0,-0.9522851497705647,0.0,1.0,-0.022761760242792084,0.0,1.0,0.02834835500425513,-0.015000795004614874,-0.011015708240913335
2022-01-18,9692,9.5,-9682.5,-1.1437374992196012,-1.0,0.0,0.003312629399585987,-1.0,0.0,0.018851779454030878,-0.011591656694030322,0.008704718176596888
