date,eq_trend,eq_hook,eq_combo
2022-07-27,1.2179897717562216,1.2958750271442347,1.275839566933686
2022-07-28,1.2179897717562216,1.2891231653308641,1.2725158311291036
2022-07-29,1.2179897717562216,1.2785206597543217,1.2672828725729979
2022-08-01,1.2179897717562216,1.2816907860911,1.2688540035437184
2022-08-02,1.2179897717562216,1.2816107431811998,1.2688143829239151
2022-08-03,1.2179897717562216,1.287103304499144,1.2715332430912387
2022-08-04,1.2179897717562216,1.2849559278423526,1.270472543147806
2022-08-05,1.2179897717562216,1.2765745359868264,1.2663290826620877
2022-08-08,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-09,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-10,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-11,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-12,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-15,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-16,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-17,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-18,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-19,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-22,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-23,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-24,1.2179897717562216,1.2764935200537488,1.266288899801893
2022-08-25,1.213080390094036,1.2764935200537488,1.263736868722538
2022-08-26,1.2128526266403767,1.2764935200537488,1.2636182314598772
2022-08-29,1.2222922902054962,1.2764935200537488,1.268535618254336
2022-08-30,1.2289159501998375,1.2764935200537488,1.2719727456474146
2022-08-31,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-01,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-02,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-05,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-06,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-07,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-08,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-09,1.2288329492839845,1.2764935200537488,1.271929791162687
2022-09-12,1.2240573153603735,1.2764935200537488,1.2694582302142816
2022-09-13,1.2301588647538892,1.2764935200537488,1.272622159712296
2022-09-14,1.2340522821475919,1.2764935200537488,1.274636065962212
2022-09-15,1.2339719430999396,1.2764935200537488,1.2745945753993226
2022-09-16,1.2339719430999396,1.2764935200537488,1.2745945753993226
2022-09-19,1.2339719430999396,1.2764935200537488,1.2745945753993226
2022-09-20,1.2339719430999396,1.2764935200537488,1.2745945753993226
2022-09-21,1.2384254964905321,1.2764935200537488,1.2768946580813652
2022-09-22,1.2380527854681473,1.2764935200537488,1.2767025138163932
2022-09-23,1.2536115564699295,1.2764935200537488,1.2847247574085183
2022-09-26,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-09-27,1.2535239487528782,1.2764935200537488,1.284679866388467
