date,regime,vol_regime,trend_regime,vol_percentile,TrendMedium_weight,TrendImpulse_weight,MomentumCore_weight,Cash_weight
2013-11-19,low_vol_ranging,LOW,RANGING,0.20634920634920634,0.38,0.18,0.44,0.0
2013-11-20,low_vol_ranging,LOW,RANGING,0.20238095238095238,0.38,0.18,0.44,0.0
2013-11-21,low_vol_ranging,LOW,RANGING,0.21031746031746032,0.38,0.18,0.44,0.0
2013-11-22,low_vol_ranging,LOW,RANGING,0.26587301587301587,0.38,0.18,0.44,0.0
2013-11-25,low_vol_ranging,LOW,RANGING,0.26587301587301587,0.38,0.18,0.44,0.0
2013-11-26,low_vol_ranging,LOW,RANGING,0.15476190476190477,0.38,0.18,0.44,0.0
2013-11-27,low_vol_ranging,LOW,RANGING,0.15476190476190477,0.38,0.18,0.44,0.0
2013-11-28,low_vol_ranging,LOW,RANGING,0.047619047619047616,0.38,0.18,0.44,0.0
2013-11-29,low_vol_ranging,LOW,RANGING,0.05952380952380952,0.38,0.18,0.44,0.0
2013-12-02,low_vol_ranging,LOW,RANGING,0.03968253968253968,0.38,0.18,0.44,0.0
2013-12-03,low_vol_ranging,LOW,RANGING,0.03968253968253968,0.38,0.18,0.44,0.0
2013-12-04,low_vol_ranging,LOW,RANGING,0.12698412698412698,0.38,0.18,0.44,0.0
2013-12-05,low_vol_ranging,LOW,RANGING,0.12301587301587301,0.38,0.18,0.44,0.0
2013-12-06,low_vol_ranging,LOW,RANGING,0.14285714285714285,0.38,0.18,0.44,0.0
2013-12-09,low_vol_ranging,LOW,RANGING,0.14682539682539683,0.38,0.18,0.44,0.0
2013-12-10,low_vol_ranging,LOW,RANGING,0.06349206349206349,0.38,0.18,0.44,0.0
2013-12-11,low_vol_ranging,LOW,RANGING,0.07936507936507936,0.38,0.18,0.44,0.0
2013-12-12,low_vol_ranging,LOW,RANGING,0.07936507936507936,0.38,0.18,0.44,0.0
2013-12-13,low_vol_ranging,LOW,RANGING,0.08333333333333333,0.38,0.18,0.44,0.0
2013-12-16,low_vol_ranging,LOW,RANGING,0.03968253968253968,0.38,0.18,0.44,0.0
2013-12-17,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2013-12-18,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2013-12-19,low_vol_ranging,LOW,RANGING,0.03571428571428571,0.38,0.18,0.44,0.0
2013-12-20,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2013-12-23,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2013-12-24,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2013-12-25,low_vol_ranging,LOW,RANGING,0.023809523809523808,0.38,0.18,0.44,0.0
2013-12-26,low_vol_ranging,LOW,RANGING,0.023809523809523808,0.38,0.18,0.44,0.0
2013-12-27,low_vol_ranging,LOW,RANGING,0.023809523809523808,0.38,0.18,0.44,0.0
2013-12-30,low_vol_ranging,LOW,RANGING,0.007936507936507936,0.38,0.18,0.44,0.0
2013-12-31,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-01,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-02,low_vol_ranging,LOW,RANGING,0.007936507936507936,0.38,0.18,0.44,0.0
2014-01-03,low_vol_ranging,LOW,RANGING,0.015873015873015872,0.38,0.18,0.44,0.0
2014-01-06,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-07,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-08,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-09,low_vol_ranging,LOW,RANGING,0.015873015873015872,0.38,0.18,0.44,0.0
2014-01-10,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2014-01-13,low_vol_ranging,LOW,RANGING,0.031746031746031744,0.38,0.18,0.44,0.0
2014-01-14,low_vol_ranging,LOW,RANGING,0.03968253968253968,0.38,0.18,0.44,0.0
2014-01-15,low_vol_ranging,LOW,RANGING,0.047619047619047616,0.38,0.18,0.44,0.0
2014-01-16,low_vol_ranging,LOW,RANGING,0.05555555555555555,0.38,0.18,0.44,0.0
2014-01-17,low_vol_ranging,LOW,RANGING,0.03968253968253968,0.38,0.18,0.44,0.0
2014-01-20,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-21,low_vol_ranging,LOW,RANGING,0.007936507936507936,0.38,0.18,0.44,0.0
2014-01-22,low_vol_ranging,LOW,RANGING,0.015873015873015872,0.38,0.18,0.44,0.0
2014-01-23,low_vol_ranging,LOW,RANGING,0.027777777777777776,0.38,0.18,0.44,0.0
2014-01-24,low_vol_ranging,LOW,RANGING,0.031746031746031744,0.38,0.18,0.44,0.0
2014-01-27,low_vol_ranging,LOW,RANGING,0.01984126984126984,0.38,0.18,0.44,0.0
2014-01-28,low_vol_ranging,LOW,RANGING,0.015873015873015872,0.38,0.18,0.44,0.0
2014-01-29,low_vol_ranging,LOW,RANGING,0.01984126984126984,0.38,0.18,0.44,0.0
2014-01-30,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-01-31,low_vol_ranging,LOW,RANGING,0.007936507936507936,0.38,0.18,0.44,0.0
2014-02-03,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-02-04,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-02-05,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-02-06,low_vol_ranging,LOW,RANGING,0.031746031746031744,0.38,0.18,0.44,0.0
2014-02-07,low_vol_ranging,LOW,RANGING,0.023809523809523808,0.38,0.18,0.44,0.0
2014-02-10,low_vol_ranging,LOW,RANGING,0.003968253968253968,0.38,0.18,0.44,0.0
2014-02-11,low_vol_ranging,LOW,RANGING,0.007936507936507936,0.38,0.18,0.44,0.0
