dt,value,symbol,signal
2000-02-28,-0.07541738629821526,copper_comex_3mo,mom_20
2000-02-28,0.04054054054054057,copper_lme_cash_3mo,hook_5_20
2000-02-28,-0.04054054054054057,copper_lme_cash_3mo,mom_20
2000-02-29,0.0160274178866463,copper_comex_3mo,hook_5_20
2000-02-29,-0.0632250580046404,copper_comex_3mo,mom_20
2000-02-29,0.0685714285714285,copper_lme_cash_3mo,hook_5_20
2000-02-29,-0.040000000000000036,copper_lme_cash_3mo,mom_20
2000-03-01,-0.01965833781214188,copper_comex_3mo,hook_5_20
2000-03-01,-0.03505644682115272,copper_comex_3mo,mom_20
2000-03-01,0.08729927007299276,copper_lme_cash_3mo,hook_5_20
2000-03-01,-0.07999999999999996,copper_lme_cash_3mo,mom_20
2000-03-02,-0.012271794078575482,copper_comex_3mo,hook_5_20
