date,signal_weekly,signal_biweekly,position_weekly,position_biweekly,return_weekly,return_biweekly
2000-07-24,-1.0,-1.0,-0.690505077750559,0.0,-0.005334632549207167,0.0
2000-07-25,-1.0,-1.0,-0.7402483995287028,-0.7402483995287028,0.0031391841957979063,0.0030356084341353223
2000-07-26,-1.0,1.0,-0.7695822073008091,-0.7695822073008091,0.002048914249273918,0.002048914249273918
2000-07-27,-1.0,1.0,-0.7773827820635025,0.7773827820635025,-0.004576456658016656,0.004343241823397606
2000-07-28,0.0,1.0,-0.7830152751491607,0.7830152751491607,0.0004156526128186312,-0.00041734236074432863
2000-07-31,0.0,0.0,0.0,0.89641634370438,-0.0001174522912723741,0.002606880148590644
2000-08-01,0.0,0.0,0.0,0.0,0.0,-0.00013446245155565698
2000-08-02,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-03,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-08-04,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-08-09,0.0,0.5,0.0,0.0,0.0,0.0
2000-08-10,0.0,0.5,0.0,0.47824775588937046,-0.0,-0.001846781856504073
2000-08-11,0.0,0.5,0.0,0.4794728365309881,-0.0,-0.00229675402754536
2000-08-14,0.0,0.5,0.0,0.4701027449687862,0.0,0.00339238435636123
2000-08-15,0.0,0.5,0.0,0.4700110986166541,0.0,-1.3746952819815304e-08
2000-08-16,0.0,0.0,0.0,0.5629493592977787,-0.0,-0.0010600372389918645
2000-08-17,0.0,0.0,0.0,0.0,0.0,-8.444240389466679e-05
2000-08-18,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-21,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-08-22,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-23,0.0,-1.0,0.0,0.0,-0.0,-0.0
2000-08-24,0.0,-1.0,0.0,-1.2502586806757785,0.0,-0.003859860694607035
2000-08-25,0.0,-1.0,0.0,-1.2498842974267952,-0.0,0.000665483936989146
2000-08-28,0.0,0.0,0.0,-1.292875583369906,0.0,-0.004828041172161223
2000-08-29,0.0,0.0,0.0,0.0,0.0,-0.00019393133750548588
2000-08-30,0.0,-1.0,0.0,0.0,0.0,0.0
2000-08-31,0.0,-1.0,0.0,-1.0551975286472812,0.0,-0.0023566078139790375
2000-09-01,0.0,-1.0,0.0,-1.0540936533081087,0.0,-0.003835225650509069
2000-09-04,0.0,0.0,0.0,-1.1152478205458756,0.0,-0.008672413574691134
2000-09-05,0.0,0.0,0.0,0.0,0.0,-0.00016728717308188133
2000-09-06,0.0,-0.5,0.0,0.0,-0.0,-0.0
2000-09-07,0.0,-0.5,0.0,-0.5503141298969955,0.0,-0.0020519739647191643
2000-09-08,-1.0,-0.5,0.0,-0.5597499053559634,0.0,-0.005704420005707192
2000-09-11,-1.0,-1.0,-1.0960502953433975,-0.5480251476716987,0.0020464856384385974,0.0011036878777174138
2000-09-12,-1.0,-1.0,-1.1250057672465419,-1.1250057672465419,-0.014216139268821553,-0.014298343040972307
2000-09-13,-1.0,-0.5,-1.0619632088456108,-1.0619632088456108,-0.008488204558176182,-0.008488204558176182
2000-09-14,-1.0,-0.5,-1.052127916902507,-0.5260639584512535,-0.0010431861026058298,-0.0006012402919663357
2000-09-15,1.0,-0.5,-1.0686266101733795,-0.5343133050866897,0.004225523653668623,0.0021127618268343114
2000-09-18,1.0,1.0,1.0301216814703664,-0.5150608407351832,-0.00849849988204141,0.004088955949494698
2000-09-19,1.0,1.0,0.9602543871761221,0.9602543871761221,-1.0480094144136647e-05,-0.0002212972841866958
2000-09-20,1.0,-0.5,1.1301376393312281,1.1301376393312281,-0.01246944047845738,-0.01246944047845738
2000-09-21,1.0,-0.5,0.9913645771672562,-0.4956822885836281,0.007504724859252646,-0.004006643398475849
2000-09-22,-0.5,-0.5,0.9847417459781158,-0.4923708729890579,0.009396341167779895,-0.004699164008568319
2000-09-25,-0.5,-0.5,-0.48035855183773435,-0.48035855183773435,-0.0021316398778573383,-0.0019136766813576595
2000-09-26,-0.5,-0.5,-0.4845571331792202,-0.4845571331792202,0.005522072919995025,0.005522072919995025
2000-09-27,-0.5,1.0,-0.4336119672324913,-0.4336119672324913,0.0010791050101518526,0.0010791050101518526
2000-09-28,-0.5,1.0,-0.46746107113258084,0.9349221422651617,0.0014043529996388337,-0.0030241408468723425
2000-09-29,-1.0,1.0,-0.46265162592834147,0.9253032518566829,-0.0030322088850611158,0.0060615321029996875
2000-10-02,-1.0,-1.0,-0.9138030305928114,0.9138030305928114,0.014117552100706008,-0.014186949844595259
2000-10-03,-1.0,-1.0,-0.8034092762118202,-0.8034092762118202,0.005295913261743027,0.005054890478879481
2000-10-04,-1.0,0.0,-0.8037394196240747,-0.8037394196240747,0.0032922778502201683,0.0032922778502201683
2000-10-05,-1.0,0.0,-0.8134175751729665,0.0,-0.01087490002898642,-0.0001205609129436112
2000-10-06,0.0,0.0,-0.7598459172202345,0.0,0.005003631894058553,-0.0
2000-10-09,0.0,0.0,0.0,0.0,-0.00011397688758303517,-0.0
2000-10-10,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-11,0.0,-1.0,0.0,0.0,-0.0,-0.0
2000-10-12,0.0,-1.0,0.0,-0.775022067370099,-0.0,0.007446879345278068
2000-10-13,-1.0,-1.0,0.0,-0.7843115619201508,0.0,-0.004883000656050649
2000-10-16,-1.0,-1.0,-0.7668734455281516,-0.7668734455281516,0.0014661513450844863,0.0015785666444549091
2000-10-17,-1.0,-1.0,-0.7680788409047186,-0.7680788409047186,0.008727987837338035,0.008727987837338035
2000-10-18,-1.0,1.0,-0.7534274362833927,-0.7534274362833927,0.007870607266144773,0.007870607266144773
2000-10-19,-1.0,1.0,-0.7372617892282229,0.7372617892282229,-0.0031165189937456474,0.0028904907628606296
2000-10-20,0.0,1.0,-0.7470603903000267,0.7470603903000267,0.0070685023577890475,-0.007071441938110589
2000-10-23,0.0,0.0,0.0,0.7585347463362759,-0.00011205905854500399,0.0004008981387050703
2000-10-24,0.0,0.0,0.0,0.0,0.0,-0.00011378021195044138
2000-10-25,0.0,-1.0,0.0,0.0,-0.0,-0.0
2000-10-26,0.0,-1.0,0.0,-0.7699908134229082,-0.0,0.01556491451307257
2000-10-27,-1.0,-1.0,0.0,-0.7000435936110624,0.0,-0.0069037003351595325
2000-10-30,-1.0,-1.0,-0.6635932801763791,-0.6635932801763791,0.002057318906705017,0.002151390351716271
2000-10-31,-1.0,-1.0,-0.6834676814979633,-0.6834676814979633,-0.007803427525120657,-0.007803427525120657
2000-11-01,-1.0,-0.5,-0.6712913670474518,-0.6712913670474518,0.0100982048678935,0.0100982048678935
2000-11-02,-1.0,-0.5,-0.6467927886962525,-0.3233963943481262,-0.0010622554556500346,-0.0005814745803535762
2000-11-03,0.0,-0.5,-0.6436812400583206,-0.3218406200291603,-0.0014028223751242224,-0.0007014111875621112
2000-11-06,0.0,0.0,0.0,-0.34414597606717534,-9.655218600874808e-05,0.00298922790152624
2000-11-07,0.0,0.0,0.0,0.0,-0.0,-5.1621896410076294e-05
2000-11-08,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-09,0.0,0.0,0.0,0.0,0.0,0.0
