dt,z,signal_raw,signal_exec,position_vt
2014-09-11,-0.6651053294104579,-1.0,-1.0,-0.73338017041426
2014-09-12,-0.6466032011606307,-1.0,-1.0,-0.73338017041426
2014-09-15,-0.7180428822079191,-1.0,0.0,0.0
2014-09-16,-0.36421609442445363,0.0,0.0,0.0
2014-09-17,-0.23047806159628723,0.0,0.0,0.0
2014-09-18,-0.6066035391146011,-1.0,0.0,0.0
2014-09-19,-0.6331838187595678,-1.0,0.0,0.0
2014-09-22,-1.127252236940673,-1.0,0.0,0.0
2014-09-23,-1.1205952108779755,-1.0,0.0,0.0
2014-09-24,-1.0152744924641621,-1.0,-1.0,-0.7227467728240659
2014-09-25,-1.2137001661222642,-1.0,-1.0,-0.7227467728240659
2014-09-26,-1.1030636776359677,-1.0,-1.0,-0.7227467728240659
2014-09-29,-0.9894089449949105,-1.0,-1.0,-0.8148040374377866
2014-09-30,-1.3102381620633037,-1.0,-1.0,-0.8148040374377866
2014-10-01,-1.2425190483908672,-1.0,-1.0,-0.8176165725813065
2014-10-02,-1.5802704899723206,-1.0,-1.0,-0.8176165725813065
2014-10-03,-1.3857407300942797,-1.0,-1.0,-0.8176165725813065
2014-10-06,-1.0764423136401864,-1.0,-1.0,-0.7520069662894069
2014-10-07,-1.2430003181165992,-1.0,-1.0,-0.7520069662894069
2014-10-08,-1.3756810614410835,-1.0,-1.0,-0.7910289120153964
2014-10-09,-1.0826470442184761,-1.0,-1.0,-0.7910289120153964
2014-10-10,-1.3238701840247586,-1.0,-1.0,-0.7910289120153964
2014-10-13,-1.0283366081482797,-1.0,-1.0,-0.751386493840792
2014-10-14,-0.6294730718320136,-1.0,-1.0,-0.751386493840792
2014-10-15,-1.3172805365676967,-1.0,-1.0,-0.6557454504980875
2014-10-16,-1.6983036788670127,-1.0,-1.0,-0.6557454504980875
2014-10-17,-1.3006027489197036,-1.0,-1.0,-0.6557454504980875
2014-10-20,-1.6377279970809129,-1.0,-1.0,-0.6528788941189403
2014-10-21,-1.1450007084997829,-1.0,-1.0,-0.6528788941189403
2014-10-22,-1.3061597635958628,-1.0,-1.0,-0.6156252136275435
2014-10-23,-1.016339697528373,-1.0,-1.0,-0.6156252136275435
2014-10-24,-1.025762048495258,-1.0,-1.0,-0.6156252136275435
