date,price,ret,pos,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2004-04-13,2822.0,-0.017409470752089096,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-14,2858.0,0.01275690999291279,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-15,2845.0,-0.004548635409377222,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-16,2919.0,0.02601054481546572,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-19,2960.0,0.014045906132237107,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-20,2885.0,-0.02533783783783783,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-21,2714.0,-0.05927209705372616,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-22,2705.0,-0.003316138540899072,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-23,2711.0,0.002218114602587695,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-26,2717.0,0.0022132054592400863,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-27,2731.0,0.005152741994847165,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-28,2580.0,-0.0552911021603808,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-29,2632.0,0.020155038759689825,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-30,2652.0,0.0075987841945288626,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-03,2652.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-04,2697.0,0.016968325791855143,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-05,2709.0,0.004449388209121219,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-06,2720.0,0.004060538944259839,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-07,2607.0,-0.04154411764705879,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-05-10,2543.0,-0.024549290372075205,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-05-11,2596.0,0.02084152575697984,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-12,2613.0,0.006548536209553202,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-13,2581.0,-0.012246460007654059,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-05-14,2594.0,0.005036807438977053,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-17,2513.0,-0.03122590593677721,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-05-18,2523.0,0.0039793076004774885,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-19,2594.0,0.028141101862861673,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-20,2589.0,-0.0019275250578257852,0.0,0.0,0.0,-0.0,-0.0,-0.0
