date,regime,sizing,sizing_smooth,vix,copper_adx
2011-10-07,NORMAL,1.0,0.9999737204292423,36.2,50.59128584617865
2011-10-10,NORMAL,1.0,0.9999784985330162,33.02,45.32455056020414
2011-10-11,NORMAL,1.0,0.9999824078906496,32.86,39.66184427736426
2011-10-12,NORMAL,1.0,0.999985606455986,31.26,35.161720025973494
2011-10-13,NORMAL,1.0,0.9999882234639885,30.7,31.26161234143483
2011-10-14,NORMAL,1.0,0.9999903646523542,28.24,28.222353378896486
2011-10-17,NORMAL,1.0,0.9999921165337444,33.39,25.58832894469658
2011-10-18,NORMAL,1.0,0.9999935498912453,31.56,22.18061050664456
2011-10-19,NORMAL,1.0,0.9999947226382915,34.44,23.41277896142389
2011-10-20,NORMAL,1.0,0.999995682158602,34.78,28.317887840645383
2011-10-21,NORMAL,1.0,0.9999964672206743,31.32,32.56898220263734
2011-10-24,NORMAL,1.0,0.999997109544188,29.26,28.443439011699017
2011-10-25,NORMAL,1.0,0.9999976350816082,32.22,24.867968246219135
2011-10-26,NORMAL,1.0,0.9999980650667704,29.86,21.915087854379255
2011-10-27,NORMAL,1.0,0.999998416872812,25.46,23.737847757645902
2011-10-28,NORMAL,1.0,0.9999987047141188,24.53,25.528269879070248
2011-10-31,NORMAL,1.0,0.9999989402206426,29.96,24.746500849856346
2011-11-01,NORMAL,1.0,0.9999991329077984,34.77,21.98479627289862
2011-11-02,NORMAL,1.0,0.9999992905609258,32.74,19.591318972868592
2011-11-03,NORMAL,1.0,0.9999994195498483,30.5,17.107429687024947
2011-11-04,NORMAL,1.0,0.9999995250862395,30.16,15.175886618478872
2011-11-07,NORMAL,1.0,0.9999996114341958,29.85,14.213369953640242
2011-11-08,NORMAL,1.0,0.9999996820825239,27.48,13.795649331400575
2011-11-09,NORMAL,1.0,0.9999997398857012,36.16,15.984133055841191
2011-11-10,NORMAL,1.0,0.9999997871792101,32.81,19.49983415967867
2011-11-11,NORMAL,1.0,0.9999998258738991,30.04,22.194223083371554
2011-11-14,NORMAL,1.0,0.9999998575331901,31.13,21.61810198304262
2011-11-15,NORMAL,1.0,0.9999998834362465,31.22,21.11879702942421
2011-11-16,NORMAL,1.0,0.9999999046296562,33.51,20.686066069621592
2011-11-17,NORMAL,1.0,0.9999999219697187,34.51,22.757584214630693
2011-11-18,NORMAL,1.0,0.9999999361570424,32.0,24.773791303267668
2011-11-21,NORMAL,1.0,0.9999999477648529,32.91,29.01018889437281
2011-11-22,NORMAL,1.0,0.9999999572621523,31.97,32.6817334733306
2011-11-23,NORMAL,1.0,0.9999999650326701,33.98,36.53145217076771
