dt,signal_raw,signal_exec,position_raw_t1,position_vt
2001-08-03,0.0,0.0,0.0,0.0
2001-08-06,0.0,0.0,0.0,0.0
2001-08-07,1.0,0.0,0.0,0.0
2001-08-08,1.0,1.0,0.0,0.0
2001-08-09,1.0,1.0,1.0,0.7240109414554516
2001-08-10,1.0,1.0,1.0,0.7240109414554516
2001-08-13,0.0,1.0,1.0,0.7339377227929834
2001-08-14,0.0,1.0,1.0,0.7339377227929834
2001-08-15,0.0,0.0,1.0,0.7965938593426336
2001-08-16,-1.0,0.0,0.0,0.0
2001-08-17,-1.0,0.0,0.0,0.0
2001-08-20,-1.0,0.0,0.0,0.0
2001-08-21,0.0,0.0,0.0,0.0
2001-08-22,0.0,0.0,0.0,0.0
2001-08-23,-1.0,0.0,0.0,0.0
2001-08-24,0.0,0.0,0.0,0.0
2001-08-27,0.0,0.0,0.0,0.0
2001-08-28,0.0,0.0,0.0,0.0
2001-08-29,-1.0,0.0,0.0,0.0
2001-08-30,0.0,0.0,0.0,0.0
2001-08-31,0.0,0.0,0.0,0.0
2001-09-03,1.0,-1.0,0.0,0.0
2001-09-04,1.0,-1.0,-1.0,-0.7039664749870463
2001-09-05,1.0,1.0,-1.0,-0.6931293945610792
2001-09-06,1.0,1.0,1.0,0.6931293945610792
2001-09-07,1.0,1.0,1.0,0.6931293945610792
2001-09-10,1.0,1.0,1.0,0.6438101503338192
2001-09-11,0.0,1.0,1.0,0.6438101503338192
2001-09-12,1.0,0.0,1.0,0.5839326724652543
2001-09-13,0.0,0.0,0.0,0.0
2001-09-14,0.0,0.0,0.0,0.0
2001-09-17,0.0,1.0,0.0,0.0
2001-09-18,0.0,1.0,1.0,0.6474018307053566
2001-09-19,0.0,0.0,1.0,0.6531650695750717
2001-09-20,0.0,0.0,0.0,0.0
2001-09-21,0.0,0.0,0.0,0.0
2001-09-24,0.0,0.0,0.0,0.0
2001-09-25,0.0,0.0,0.0,0.0
2001-09-26,0.0,0.0,0.0,0.0
2001-09-27,0.0,0.0,0.0,0.0
2001-09-28,0.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,0.0
2001-10-02,0.0,0.0,0.0,0.0
2001-10-03,1.0,0.0,0.0,0.0
2001-10-04,1.0,0.0,0.0,0.0
2001-10-05,1.0,0.0,0.0,0.0
2001-10-08,0.0,1.0,0.0,0.0
2001-10-09,0.0,1.0,1.0,0.7977583049911275
2001-10-10,0.0,0.0,1.0,0.8975108202070975
2001-10-11,0.0,0.0,0.0,0.0
2001-10-12,0.0,0.0,0.0,0.0
2001-10-15,0.0,0.0,0.0,0.0
2001-10-16,0.0,0.0,0.0,0.0
2001-10-17,0.0,0.0,0.0,0.0
2001-10-18,0.0,0.0,0.0,0.0
2001-10-19,1.0,0.0,0.0,0.0
2001-10-22,1.0,0.0,0.0,0.0
2001-10-23,0.0,0.0,0.0,0.0
2001-10-24,1.0,0.0,0.0,0.0
2001-10-25,0.0,0.0,0.0,0.0
2001-10-26,0.0,0.0,0.0,0.0
2001-10-29,0.0,1.0,0.0,0.0
2001-10-30,0.0,1.0,1.0,0.7190217843885731
2001-10-31,0.0,0.0,1.0,0.6629694642717167
2001-11-01,0.0,0.0,0.0,0.0
2001-11-02,1.0,0.0,0.0,0.0
2001-11-05,0.0,0.0,0.0,0.0
