momentum_window,entry_threshold,exit_threshold,adx_trending_threshold,adx_window,weekly_vol_updates,update_frequency,use_regime_scaling,vol_window,vol_percentile_window,sharpe,annual_return,annual_vol,activity_pct,long_pct,short_pct
20,0.01,0.002,18,14,True,5,False,63,252,0.3479996079696298,0.07553096291753525,0.21704324139390094,77.19475277497477,41.79616548940464,35.39858728557013
20,0.012,0.002,22,14,True,5,False,63,252,0.34695075625626365,0.07163121976696955,0.20645932736939054,66.3773965691221,36.064581231079714,30.31281533804238
25,0.012,0.003,20,14,True,5,False,63,252,0.34525467976632596,0.07296551404064357,0.21133823324285664,71.28153380423814,39.112008072653886,32.16952573158426
20,0.015,0.005,20,14,True,5,False,63,252,0.34416149109425476,0.07166558877265834,0.20823244502108304,67.62865792129162,36.93239152371342,30.696266397578203
20,0.01,0.002,22,14,True,5,False,63,252,0.3439707741996128,0.07122507832720086,0.20706723846796235,67.34611503531787,36.56912209889001,30.77699293642785
20,0.008,0.002,22,14,True,5,False,63,252,0.3430891776529403,0.07137731753169646,0.20804304589257497,67.91120080726539,36.952573158425835,30.958627648839553
25,0.008,0.003,20,14,True,5,False,63,252,0.3429039953553535,0.0728331512358363,0.21240099917867353,72.63370332996972,39.61654894046418,33.01715438950555
25,0.01,0.003,20,14,True,5,False,63,252,0.34133676195839296,0.07228042551454461,0.21175693206861554,72.02825428859737,39.455095862764885,32.573158425832496
20,0.008,0.003,18,14,True,5,False,63,252,0.34080887453178593,0.07401708999796351,0.21718064149488642,77.43693239152371,42.05852674066599,35.37840565085772
25,0.012,0.002,22,14,True,5,False,63,252,0.33907130648928396,0.07021730392690263,0.20708713059187092,66.98284561049445,36.87184661957619,30.110998990918265
25,0.01,0.002,22,14,True,5,False,63,252,0.3390012617993176,0.07032694113024839,0.207453331462467,67.66902119071645,37.21493440968718,30.454086781029265
20,0.012,0.004,18,14,True,5,False,63,252,0.3365085321063559,0.07245288280410259,0.21530771404394392,74.73259334006055,40.645812310797176,34.08678102926337
20,0.008,0.002,18,14,True,5,False,63,252,0.33555448708100133,0.07307611779315829,0.2177772034248436,78.02219979818365,42.34106962663976,35.6811301715439
25,0.008,0.002,22,14,True,5,False,63,252,0.3336965316736297,0.06932669257204234,0.2077537103078044,68.25428859737639,37.37638748738648,30.877901109989907
25,0.01,0.002,20,14,True,5,False,63,252,0.3316976428097261,0.07036619331602384,0.2121395639714825,72.43188698284561,39.656912209889,32.77497477295661
20,0.015,0.003,18,14,True,5,False,63,252,0.33149416418113636,0.07100176127784041,0.21418706254823647,73.82441977800201,40.12108980827447,33.70332996972755
25,0.012,0.002,20,14,True,5,False,63,252,0.3283910166873224,0.06954369453763831,0.2117710016527473,71.68516649848638,39.313824419778,32.37134207870837
25,0.008,0.002,20,14,True,5,False,63,252,0.32825066510903905,0.0698659987479166,0.21284343391873511,73.0978809283552,39.83854692230071,33.259334006054495
20,0.012,0.005,18,14,True,5,False,63,252,0.3274190003376127,0.07035452415973921,0.21487611924535327,73.94550958627649,40.28254288597377,33.662966700302725
20,0.01,0.004,18,14,True,5,False,63,252,0.32701870987827036,0.07066411284461188,0.21608584068757394,75.94349142280524,41.23107971745711,34.71241170534813
25,0.012,0.004,22,14,True,5,False,63,252,0.3256594888297982,0.06712092261990227,0.20610768278575223,66.29667003027245,36.508577194752775,29.788092835519674
20,0.015,0.002,18,14,True,5,False,63,252,0.32559947528913996,0.06992594345545557,0.214760614688828,74.40968718466195,40.423814328960646,33.98587285570131
25,0.012,0.005,22,14,True,5,False,63,252,0.3255864758518033,0.06706228905457154,0.20597381656938413,66.11503531786074,36.42785065590313,29.687184661957616
20,0.008,0.004,22,14,True,5,False,63,252,0.323922132056275,0.06711297022925396,0.20718859129265801,66.96266397578204,36.5489404641776,30.41372351160444
20,0.012,0.004,22,14,True,5,False,63,252,0.3238798623257044,0.06657800510273333,0.2055638921933969,65.3481331987891,35.62058526740666,29.727547931382443
