low_vol_threshold,medium_vol_threshold,low_vol_scale,medium_vol_scale,high_vol_scale,momentum_window,entry_threshold,exit_threshold,adx_trending_threshold,adx_window,weekly_vol_updates,update_frequency,use_regime_scaling,vol_window,vol_percentile_window,sharpe,annual_return,annual_vol,activity_pct,long_pct,short_pct
0.35,0.75,1.7,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5177767041531135,0.11600836605368806,0.22405095695341062,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.6,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5174161719929583,0.12372285643541182,0.23911671712707042,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5157316694443171,0.12056744288170697,0.2337794051150944,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.5,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5141491439475583,0.10673719623056882,0.20759967703351015,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,1.0,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5136994033758455,0.11873787813062527,0.23114272150273713,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.5,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5135132836270471,0.10446568187861273,0.20343326104585013,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5134907471186366,0.1202506155553738,0.234182633728337,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5133966711083003,0.11563299923006437,0.22523129918322313,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,0.6,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5131082263467751,0.12334748961178814,0.24039273447240725,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.5,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5124965377557507,0.10661207395602758,0.2080249642717344,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5120052854476075,0.1201254932808326,0.2346176820729809,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.3,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5105371321071148,0.09019348562660014,0.1766639093504306,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.5,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5100107108119615,0.10629524662969439,0.20841767511209183,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.3,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5076196308154615,0.089876658300267,0.1770551271941264,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,0.6,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5066786566453442,0.12239700763278867,0.24156732482706877,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,1.0,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5063965138718151,0.12234647297964475,0.24160212329308123,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.5,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.505851563874166,0.10351519989961325,0.20463552411861943,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.3,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5057079999127827,0.08975153602572578,0.1774769947107913,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.8,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5053852386772648,0.12461798733160077,0.24658018832873133,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,0.8,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5039209112947975,0.12449286505705953,0.24704842023162296,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.5,0.6,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5032325524789254,0.111229690281337,0.22103039585459872,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,1.0,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5024292078971768,0.11715374149895949,0.23317462372317985,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.5,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5021004191665046,0.10807427672763215,0.21524434675246304,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,0.8,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.5017602882905765,0.1241760377307264,0.24748080035145045,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.5,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5008560648605681,0.10313983307598955,0.2059270922569388,70.09081735620585,38.20383451059536,31.886982845610497
