dt,hook,stocks,combo_eqw,combo_10vol
2000-08-29,0.0,0.0,0.0,0.0
2000-08-30,0.0,0.0,0.0,0.0
2000-08-31,0.0,0.0020877465960731,0.00104387329803655,0.002609683245091375
2000-09-01,0.0,-0.0001621621115731,-8.108105578655e-05,-0.000202702639466375
2000-09-04,0.0,-0.0087986110196007,-0.00439930550980035,-0.010998263774500876
2000-09-05,0.0,-0.0001673168035197,-8.365840175985e-05,-0.000209146004399625
2000-09-06,-0.0,-0.0,-0.0,-0.0
2000-09-07,0.0,0.0,0.0,0.0
2000-09-08,0.0,0.0,0.0,0.0
2000-09-11,0.0020464856384385,-0.0,0.00102324281921925,0.0025581070480481254
2000-09-12,-0.0142161392688215,0.0135275712757398,-0.0003442839965408506,-0.0008607099913521266
2000-09-13,-0.0084882045581761,0.0085905356218985,5.1165531861199764e-05,0.0001279138296529994
2000-09-14,-0.0010431861026058,-0.0001620669207025,-0.0006026265116541499,-0.0015065662791353747
2000-09-15,0.0042255236536686,-0.0,0.0021127618268343,0.00528190456708575
2000-09-18,-0.0084984998820414,-0.0,-0.0042492499410207,-0.010623124852551749
2000-09-19,-1.0480094144136647e-05,-0.0001743975185754,-9.243880635976833e-05,-0.00023109701589942082
2000-09-20,-0.0124694404784573,-0.0001743975185754,-0.00632191899851635,-0.015804797496290875
2000-09-21,0.0075047248592526,0.0,0.0037523624296263,0.00938090607406575
2000-09-22,0.0093963411677798,0.0,0.0046981705838899,0.01174542645972475
2000-09-25,-0.0021316398778573,0.0,-0.00106581993892865,-0.002664549847321625
2000-09-26,0.005522072919995,-0.0,0.0027610364599975,0.00690259114999375
2000-09-27,0.0010791050101518,-0.0,0.0005395525050759,0.00134888126268975
2000-09-28,0.0014043529996388,-0.0,0.0007021764998194,0.0017554412495484999
2000-09-29,-0.0030322088850611,0.0,-0.00151610444253055,-0.0037902611063263753
2000-10-02,0.014117552100706,-0.0,0.007058776050353,0.0176469401258825
2000-10-03,0.005295913261743,0.005335556249592,0.0053157347556675,0.011423759563175621
